Name,Address,Latitude NS,Longitude EW,https://www.gps-coordinates.net/
Martinez MS,"5601 W Lutz Lake Fern Rd, Lutz, FL 33558",28.1558587,-82.5362234,
Steinbrenner HS,"5575 W Lutz Lake Fern Rd, Lutz, FL 33558",28.1558521,-82.5360517,
McKitrick ES,"5503 W Lutz Lake Fern Rd, Lutz, FL 33558",28.1565521,-82.5313087,
Hammond ES,"8008 N Mobley Rd, Odessa, FL 33556",28.1141887,-82.5735835,
Pride ES,"10310 Lion's Den Drive, Tampa, FL 33647",28.1636250,-82.3693510,
Turner Bartels both campuses,"9020 Imperial Oak Blvd, Tampa, FL 33647",28.1678743,-82.3511556,
Wharton HS,"20150 Bruce B Downs Blvd, Tampa, FL 33647",28.1580238,-82.3554648,
Sickles HS,"7950 Gunn Hwy, Tampa, FL 33626",28.0807070,-82.5781947,
Benito MS,"10101 Cross Creek Blvd, Tampa, FL 33647",28.1420160,-82.3257980,
Heritage ES,"18201 Meadows Rd, Tampa, FL 33647",28.1451943,-82.2841667,
Mort ES,"1806 E Bearss Ave, Tampa, FL 33613",28.0816889,-82.4399862,
Cannella ES,"10707 Nixon Rd, Tampa, FL 33624",28.0463306,-82.5335549,
Carrollwood ES,"3516 McFarland Rd, Tampa, FL",28.0529650,-82.4987390,
Lake Mag ES,"2002 Pine Lake Dr, Tampa, FL 33612",28.0573671,-82.4774665,
Bowers-Whitley/Muller,"13609 N 22nd St, Tampa, FL 33613",28.0724519,-82.4315125,
Yuengling Center of USF,"12499 USF Bull Run Drive, Tampa, FL 33617",28.0554327,-82.4049859,
Pizzo K8,"11701 USF Bull Run Drive, Tampa, FL 33617",28.0553668,-82.4033839,
Greco MS,"6925 E Fowler Ave, Temple Terrace, FL 33617",28.0542937,-82.3755085,
Sheehy ES,"6402 N 40th St, Tampa, FL 33610",28.0056646,-82.4151884,
Erwin Technical College,"2010 E. Hillsborough Ave, Tampa, FL 33610",27.9961504,-82.4364834,
Jennings MS,"9325 Governors Run Dr, Seffner, FL 33584",28.0262912,-82.3302547,
Middleton HS,"4801 N 22nd St, Tampa, FL 33610",27.9909399,-82.4319431,
Lockhart ES,"3710 N 17th St, Tampa, FL 33610",27.9788932,-82.4401508,
Knights ES,"4815 Keene Rd, Plant City, FL 33565",28.0733226,-82.1546337,
Burnett MS,"1010 N Kingsway Rd, Seffner, FL 33584",28.0077219,-82.2797901,
Armwood HS,"12000 US-92, Seffner, FL 33584",28.0124410,-82.2594688,
Strawberry Crest HS,"4691 Gallagher Rd, Dover, FL 33527",28.0177060,-82.2363572,
Wilson ES,"702 W English St, Plant City, FL 33563",28.0275329,-82.1289596,
Tomlin MS,"501 N Woodrow Wilson St, Plant City, FL 33563",28.0185882,-82.1463235,
Marshal MS,"18 S Maryland Ave, Plant City, FL 33566",28.0153424,-82.1088813,
Brandon HS,"1101 Victoria St, Brandon, FL 33510",27.9425251,-82.2983194,
Valrico ES,"609 S Miller Rd, Valrico, FL 33594",27.9300492,-82.2444559,
Turkey Creek MS,"5005 Turkey Creek Rd, Plant City, FL 33567",27.9447467,-82.1705264,
Mulrennan MS,"4215 Durant Rd, Valrico, FL 33594",27.9082191,-82.2274839,
Bloomingdale HS,"1700 E Bloomingdale Ave, Valrico, FL 33596",27.8954295,-82.2551757,
Nelson ES,"5413 Durant Road, Dover, FL 33527",27.9082698,-82.2047386,
Cimino Es,"4329 Culbreath Rd, Valrico, FL 33596",27.8752649,-82.2442635,
Riverview HS,"11311 Boyette Road, Riverview FL",27.8497388,-82.3124400,
Durant HS,"4748 Cougar Path, Plant City, FL 33567",27.8894818,-82.1739777,
Boyette Springs ES,"10141 Sedgebrook Dr, Riverview, FL 33569",27.8485181,-82.2799641,
Sessums ES,"11525 Ramble Creek Dr, Riverview, FL 33569",27.8342508,-82.3186347,
Barrington/Stowers,"5925 Village Center Dr, Lithia, FL 33547",27.8477886,-82.2559248,
Bevis ES,"5720 Osprey Ridge Dr, Lithia, FL 33547",27.8495756,-82.2334114,
Newsome HS,"16550 Fishhawk Blvd, Lithia, FL 33547",27.8543988,-82.2072244,
Collins ES,"12424 Summerfield Blvd, Riverview, FL 33569",27.8111678,-82.3165968,
Summerfield ES,"11990 Big Bend Rd, Riverview, FL 33579",27.8030120,-82.2885354,
Dorothy York ES,5995 Covington Garden Drive,27.7617208,-82.3724779,
Sumner HS,"10650 Co Rd 672, Riverview, FL 33579",27.7719910,-82.3275937,
Cypress Creek ES,"4040 19th Ave NE, Ruskin, FL 33573",27.7407681,-82.3650805,
Shields MS,"15732 Beth Shields Way, Ruskin, FL 33573",27.7371947,-82.3707539,
Reddick ES,"325 W Lake Dr, Wimauma, FL 33598",27.7181774,-82.3205386,